6556.3,2.983,7690.6,2.2273
3175.3,0.37021,4629.2,0.89328
4882.3,2.1986,3364.8,1.1118
3932,1.7599,6532,2.4524
5970.8,2.6256,5012.4,1.0928
3691.3,1.3655,3334.9,0.66164
5026.9,2.3033,4947.1,0.95831
5917.7,1.5918,4639.8,0.94225
4458.9,1.3213,2422.5,0.99298
5255.2,1.2234,3835.8,0.54635
3399.4,0.32467,2573.8,0.46353
4166.4,0.16717,5568.4,1.1627
3649.6,0.35503,6198.6,1.793
6024.2,1.6877,2966.5,0.81879
4166.6,0.30099,8780.5,1.9132
4355.2,0.75552,4555.3,1.3558
2973.5,0.14111,4539.8,0.52348
2526.2,0.50798,5892.2,1.9695
9567,2.8722,4289,0.66455
4094.4,1.5714,4559,1.3792
3312.8,0.65542,3424.5,0.3271
3385.3,0.41004,2752.9,0.13662
5529.9,1.7626,2571.8,0.30364
4807.9,0.30865,2216.9,0.43225
5198.5,0.90341,4332.1,0.97122
3950.4,0.84671,3947.3,0.76432
5071.8,0.93126,2217.1,0.35578
6223.7,1.2406,4685.6,0.96745
3321.1,0.47798,5478.5,1.7151
4752.3,1.7818,4294.7,0.93071
3368.6,1.3636,6714.8,0.48725
2940.9,0.41709,4745.1,0.29215
5528,1.1661,3564,0.80532
5035.2,1.0522,4404.3,1.3503
6253.8,1.4916,6154.9,0.75759
5145.1,0.72417,7234.8,1.2666
5206.7,1.9834,5066.5,1.1961
